,Company,Address,SIC2,Latitude,Longitude,NeighborSIC52,NeighborSIC53,NeighborSIC54,NeighborSIC55,NeighborSIC56,NeighborSIC57,NeighborSIC58,NeighborSIC59,NeighborSIC60,NeighborSIC61,NeighborSIC62,NeighborSIC63,NeighborSIC64,NeighborSIC65,NeighborSIC66,NeighborSIC67,NeighborSIC68,NeighborSIC69,NeighborSIC70,NeighborSIC71,NeighborSIC72,NeighborSIC73,NeighborSIC74,NeighborSIC75,NeighborSIC76,NeighborSIC77,NeighborSIC78,NeighborSIC79,NeighborSIC80,NeighborSIC81,NeighborSIC82,NeighborSIC83,NeighborSIC84
39833,PHO BAC HUYNH INC,11819 WILSHIRE BLVD,58,34.0479,118.463,,,,,,,12.0,,,2.0,,,3.0,,,,,,,,2.0,2.0,,1.0,1.0,,,4.0,15.0,,1.0,,
39958,CAFE MUSE LLC,1380 VETERAN AVE APT 410,58,34.0544,118.4446,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
39973,PLAYAS DE ROSARITO RESTAU,6255 W SUNSET BLVD,58,34.0981,118.3254,,,,,3.0,6.0,5.0,7.0,4.0,2.0,3.0,,1.0,10.0,,8.0,,,,,2.0,51.0,,2.0,,,29.0,25.0,6.0,57.0,2.0,2.0,1.0
40005,LAS NEW YORK CITY DELI,843 S LOS ANGELES ST,58,34.0416,118.2529,,,,,9.0,,3.0,,,,,,,,,,,,,,,9.0,,1.0,,,,,,,,,
40042,PIZZA 5 GUYS,5535 YORK BLVD,58,34.1197,118.1975,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
40105,BORICHON,3540 WILSHIRE BLVD,58,34.0615,118.3018,1.0,2.0,9.0,1.0,10.0,8.0,11.0,24.0,1.0,24.0,6.0,4.0,15.0,35.0,,23.0,,,2.0,,18.0,116.0,,4.0,3.0,,3.0,13.0,67.0,89.0,10.0,12.0,2.0
40154,FLAME BOILER,3500 WILSHIRE BLVD,58,34.0616,118.3006,,,,,,,8.0,3.0,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,
40209,MORANGAK,3377 WILSHIRE BLVD,58,34.0619,118.2973,,,,,3.0,1.0,14.0,4.0,,,,,,2.0,,1.0,,,1.0,,2.0,6.0,,,,,,6.0,1.0,1.0,,,
40284,LEMONADE RESTAURANT GROUP,145 S BARRINGTON AVE,58,34.0644,118.4692,2.0,,2.0,,6.0,3.0,4.0,5.0,,1.0,5.0,,1.0,8.0,,7.0,,,,,3.0,29.0,,,2.0,,12.0,6.0,5.0,2.0,2.0,2.0,
40316,TULSA GROUP LLC,112 S LA BREA AVE,58,34.0731,118.3438,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
40408,MURAKAMI,1714 WILCOX AVE,58,34.102,118.3308,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
40470,HOKKAIDO RESTAURANT,10850 W PICO BLVD FL 2,58,34.0398,118.4287,,,2.0,,17.0,2.0,7.0,12.0,,,,,,,,1.0,,,,,2.0,1.0,,,,,1.0,1.0,,,1.0,1.0,
40531,SAN SUI TEI CO,313 E 1ST ST,58,34.0629,118.2381,1.0,5.0,16.0,5.0,27.0,13.0,48.0,71.0,11.0,1.0,4.0,1.0,7.0,19.0,,5.0,,,,,16.0,68.0,,9.0,30.0,,5.0,17.0,19.0,15.0,3.0,6.0,4.0
40535,TARA KITCHEN,10855 VENICE BLVD,58,34.0168,118.4106,,,1.0,1.0,,1.0,4.0,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,
40557,SERENE AROMA,3959 WILSHIRE BLVD,58,34.0618,118.3131,,,3.0,,4.0,5.0,10.0,8.0,2.0,,,,,,,1.0,,,,,12.0,9.0,,,2.0,,1.0,3.0,2.0,,,,
40623,MILJIP HOUSE OF NOODLES,4003 WILSHIRE BLVD STE I,58,34.0618,118.3144,,,1.0,,2.0,,5.0,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,
40828,KOMBUCHA DOG,1815 N MAIN ST,58,34.0667,118.2208,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
40830,FOOD BIZZ CORPORATION,2142 CENTURY PARK LN,58,34.0573,118.4121,,,1.0,,,,1.0,2.0,,,1.0,,,1.0,,3.0,,,,,,5.0,,,,,2.0,,,,,,
40982,ETCHEA CAFE BAKERY AND MARKET,600 WILSHIRE BLVD STE 960,58,34.0479,118.2562,1.0,,1.0,1.0,,4.0,2.0,2.0,9.0,,3.0,,5.0,12.0,,5.0,,,1.0,,2.0,25.0,,1.0,,,4.0,1.0,5.0,29.0,2.0,4.0,
41000,WESTERN RESTAURANT,401 N WESTERN AVE,58,34.0784,118.3093,1.0,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
41109,ZZAMONG,4255 W 3RD ST,58,34.069,118.3069,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
41246,OHARAS,1000 GAYLEY AVE,58,34.0619,118.4477,,,,,,,3.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,
41535,STARBUCKS CORPORATION,800 N ALAMEDA ST,58,34.0562,118.2373,,,2.0,,,,4.0,1.0,,,,,,3.0,,,,,,,1.0,8.0,,4.0,1.0,,,,,1.0,,1.0,
41538,BIG FAT PITA,10250 SANTA MONICA BLVD,58,34.06,118.4197,1.0,6.0,16.0,1.0,151.0,13.0,55.0,129.0,1.0,1.0,1.0,,1.0,4.0,,,,,,,23.0,18.0,,3.0,5.0,,2.0,3.0,4.0,,2.0,,3.0
41560,SUBWAY 13478,3811 WESTSIDE AVE,58,34.0172,118.3272,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,
41607,SUSHI EXPRESS INC,125 N LARCHMONT BLVD,58,34.0735,118.3238,,,1.0,,,,3.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,
41632,TRE GALLI INC,637 S FAIRFAX AVE,58,34.0638,118.3615,,,,,,,1.0,1.0,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,1.0,,,,
41700,KOMODO LLC,8809 W PICO BLVD,58,34.0549,118.3839,1.0,,,,1.0,,1.0,,,,2.0,,1.0,1.0,,,,,,,1.0,2.0,,,,,,1.0,2.0,1.0,,,
41702,XLIXE PIZZERIA,432 E 2ND ST,58,34.0473,118.23899999999999,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
41793,SANBORN FOODS/EL POLLO LOCO,3925 W SUNSET BLVD,58,34.0922,118.28,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
41989,VENTURE ONE GROUP INC,11682 SAN VICENTE BLVD,58,34.0536,118.464,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,
41996,MING WOK,3120 S SEPULVEDA BLVD,58,34.0262,118.4275,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,2.0,,,,,,,,
42109,MITAKI,1234 WILSHIRE BLVD,58,34.0531,118.2656,,,1.0,,1.0,1.0,2.0,1.0,,1.0,,,,3.0,,1.0,,,1.0,,,6.0,,,,,,,,,,,
42131,SUEDE BAR AND LOUNGE,404 S FIGUEROA ST STE 102,58,34.0533,118.2559,,,2.0,,13.0,,28.0,15.0,,,,,,2.0,,1.0,,,7.0,,12.0,7.0,,3.0,,,1.0,3.0,3.0,1.0,,,
42143,BASKIN ROBBINS 91,1800 S ROBERTSON BLVD,58,34.0466,118.3859,2.0,,3.0,,4.0,8.0,4.0,8.0,,2.0,1.0,,,4.0,,5.0,,,,,6.0,22.0,,2.0,6.0,,1.0,3.0,2.0,2.0,2.0,,
42176,HOT SET CATERING INC,5151 LA RODA AVE,58,34.1404,118.2049,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
42207,SYCAMORE KITCHEN,143 N LA BREA AVE,58,34.0741,118.3442,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
42221,RED MANGO,3500 W 6TH ST STE 230,58,34.0634,118.29799999999999,,1.0,6.0,,9.0,1.0,8.0,7.0,1.0,,,,,1.0,,2.0,,,,,6.0,5.0,,,,,1.0,3.0,1.0,,,,
42276,KAITEN SUSHI DAICHAN,11301 W OLYMPIC BLVD,58,34.0382,118.4414,1.0,1.0,7.0,1.0,3.0,4.0,11.0,12.0,2.0,3.0,3.0,,1.0,18.0,,8.0,,,,,6.0,54.0,,2.0,1.0,,8.0,8.0,9.0,6.0,4.0,3.0,
42300,BUFFALO WINGS & THINGS,1269 WESTWOOD BLVD,58,34.0628,118.4389,1.0,1.0,4.0,4.0,30.0,6.0,27.0,55.0,2.0,6.0,5.0,,8.0,53.0,,19.0,,,4.0,,39.0,192.0,,2.0,5.0,,31.0,16.0,74.0,29.0,36.0,9.0,2.0
42410,CHURCHILL,8384 W 3RD ST,58,34.0728,118.3727,,,,,,,3.0,,,,,,,,,,,,4.0,,2.0,,,,,,,1.0,,,,,
42517,QFO RESTAURANT LP,2149 BASIL LN,58,34.1113,118.4495,,3.0,7.0,2.0,7.0,8.0,8.0,17.0,1.0,2.0,9.0,,1.0,24.0,,8.0,,,,,22.0,143.0,,2.0,3.0,,28.0,9.0,29.0,13.0,3.0,2.0,
42565,DIGGITY DOG HOTDOGS SASGS,528 S ALEXANDRIA AVE,58,34.0648,118.2977,,,,,,,1.0,,,,1.0,,,,,,,,,,,3.0,,,,,1.0,,,,,,
42614,CAROLYNS KITCHEN,853 E MANCHESTER AVE,58,33.9602,118.2596,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
42642,MEUSA LOUNGE,3211 BEVERLY BLVD,58,34.0724,118.2833,,,,,,1.0,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
42690,CALIFORNIA KABOB KITCHEN,141 W 11TH ST,58,34.0398,118.259,,,1.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
42692,JR BISTRO,750 N HILL ST,58,34.0617,118.2398,,,1.0,,,,9.0,2.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,1.0,,,,
42754,EL JAQUERO RESTAURANT,1747 E GAGE AVE,58,33.9747,118.2491,10.0,9.0,20.0,25.0,17.0,29.0,34.0,59.0,1.0,,1.0,1.0,6.0,14.0,,5.0,,,6.0,,26.0,107.0,,50.0,27.0,,5.0,12.0,22.0,11.0,9.0,8.0,1.0
42802,MAN KANG INC,356 S WESTERN AVE,58,34.0679,118.3089,,,1.0,1.0,1.0,2.0,3.0,7.0,,,,,,1.0,,,,,,,7.0,1.0,,,,,,5.0,1.0,,,,
42902,HEYRI COFFEE SHOP,755 S HOBART BLVD,58,34.0586,118.3055,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
42983,ROOM FORTY,3329 DIVISION ST,58,34.105,118.23,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
43009,DADDYS BURRITOS,5401 W ADAMS BLVD,58,34.0326,118.3603,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
43032,LA PUPUSERIA DEL PEPETO,6071 E OLYMPIC BLVD,58,34.0264,118.1532,2.0,7.0,26.0,28.0,35.0,26.0,45.0,54.0,3.0,3.0,1.0,1.0,7.0,30.0,,2.0,,,2.0,,44.0,138.0,,39.0,40.0,,3.0,6.0,33.0,6.0,8.0,17.0,
43052,YEN CAFE,5908 W SUNSET BLVD,58,34.0979,118.3182,,,,,,,3.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,
43075,THAT PIZZA PLACE,2180 WESTWOOD BLVD STE 1F,58,34.0442,118.4318,,,,,1.0,3.0,7.0,8.0,1.0,1.0,1.0,,4.0,,,1.0,,,,,9.0,4.0,,,1.0,,,5.0,5.0,,1.0,,
43215,VICTOR TETES PIZZA,2013 W FLORENCE AVE,58,33.9531,118.3077,5.0,5.0,20.0,20.0,30.0,37.0,30.0,77.0,2.0,1.0,1.0,1.0,5.0,35.0,,5.0,,,,,73.0,219.0,,41.0,41.0,,6.0,12.0,10.0,4.0,15.0,42.0,
43505,TAQUERIA MI COATZINGO,5427 S CENTRAL AVE,58,33.9928,118.2565,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
43533,ALONG CAME MARY INC,5265 W PICO BLVD,58,34.0483,118.3528,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
43624,VINTAGE 10 FIFTY,1050 S HILL ST,58,34.0408,118.259,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
43675,BCBG MAX AZRIA GROUP INC,131 N LA CIENEGA BLVD,58,34.0741,118.3766,1.0,,3.0,,52.0,4.0,5.0,25.0,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,
43706,S G HERCULES BURGERS 2,6225 S BROADWAY,58,33.9829,118.2784,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
43713,SAMS CAFE,361 S DOHENY DR,58,34.0725,118.3898,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
43776,VILLAGE KITCHEN,1667 BEVERLY BLVD,58,34.0643,118.2645,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
44006,TAPAS & WINE BAR,428 E 2ND ST,58,34.0473,118.2391,,,,,,,5.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
44024,PIE HOLE,714 TRACTION AVE,58,34.0444,118.2406,,4.0,6.0,,21.0,7.0,24.0,33.0,4.0,2.0,2.0,1.0,1.0,2.0,,2.0,,,3.0,,13.0,29.0,,6.0,7.0,,3.0,2.0,10.0,3.0,5.0,3.0,1.0
44100,APGUJUNG KOREAN RESTAURANT,3109 W OLYMPIC BLVD STE B,58,34.0527,118.3034,,,,,1.0,,5.0,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,
44105,SEVEN RESTAURANT & BAR,555 W 7TH ST,58,34.0447,118.25200000000001,,4.0,9.0,2.0,65.0,7.0,31.0,56.0,6.0,3.0,,,,9.0,,1.0,,,1.0,,10.0,20.0,,,7.0,,,5.0,2.0,5.0,3.0,2.0,
44172,LEMONADE RESTAURANT GROUP LLC,3515 W WASHINGTON BLVD,58,34.04,118.3227,1.0,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
44247,WIMPYS BURGERS,8328 COMPTON AVE,58,33.9747,118.2491,10.0,9.0,20.0,25.0,17.0,29.0,34.0,59.0,1.0,,1.0,1.0,6.0,14.0,,5.0,,,6.0,,26.0,107.0,,50.0,27.0,,5.0,12.0,22.0,11.0,9.0,8.0,1.0
44477,SURAWON RESTAURANT,2829 W OLYMPIC BLVD,58,34.048,118.2932,4.0,5.0,28.0,13.0,32.0,26.0,31.0,60.0,2.0,2.0,1.0,,8.0,18.0,,5.0,,,3.0,,61.0,122.0,,13.0,38.0,,6.0,10.0,32.0,2.0,5.0,2.0,
44535,ROMEROS ROTISSERIE CHICKEN,611 N VIRGIL AVE STE A,58,34.082,118.2869,,,1.0,,,,1.0,2.0,,,,,1.0,,,,,,,,2.0,,,4.0,,,,,,,2.0,,
44693,LITTLE BEAN CAFE,3250 W OLYMPIC BLVD,58,34.0525,118.3077,,1.0,9.0,,17.0,7.0,11.0,17.0,1.0,,,,1.0,1.0,,,,,,,7.0,9.0,,,1.0,,,,6.0,,,1.0,2.0
44714,BESO RESTAURANT LLC,6350 HOLLYWOOD BLVD STE 1,58,34.1014,118.3283,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
44731,FATHERS OFFICE,3229 HELMS AVE,58,34.0305,118.3848,1.0,,1.0,,,4.0,1.0,2.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
44847,GUATELINDA RESTAURANT & LAUNGE,4161 BEVERLY BLVD,58,34.0764,118.2997,,,,1.0,,,4.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,
44867,AZARIAN MIKE,3207 LOS FELIZ BLVD,58,34.1232,118.2692,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
44895,GYENARI RESTAURANT,3314 LIVONIA AVE,58,34.0309,118.39200000000001,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
44902,SOMERSET CATERERS INC,4700 WESTERN HERITAGE WAY,58,34.1494,118.2821,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
44937,FOUR CAFE,2122 COLORADO BLVD,58,34.1389,118.2129,,,,,,,1.0,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,
45011,XOIA VIETNAMESE EATS,1801 W SUNSET BLVD,58,34.0778,118.2594,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
45025,DINO S JR BURGER,2819 N BROADWAY,58,34.0799,118.2103,1.0,2.0,13.0,6.0,14.0,10.0,18.0,32.0,,2.0,2.0,,3.0,10.0,,3.0,,,1.0,,23.0,122.0,,13.0,32.0,,6.0,7.0,5.0,1.0,5.0,7.0,
45271,BOBA TIME,125 N WESTERN AVE STE 103,58,34.0737,118.3092,,,1.0,,3.0,,3.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
45356,KOSHER CHEFS DIET CORP,3000 S ROBERTSON BLVD,58,34.0323,118.39,,,1.0,,,,2.0,4.0,1.0,2.0,,,2.0,4.0,,,,,,,,12.0,,1.0,2.0,,1.0,,2.0,13.0,5.0,2.0,
45412,POINT MOOREA,930 WILSHIRE BLVD,58,34.0503,118.2599,,,,,3.0,,8.0,13.0,,,,,,,,,,,2.0,,7.0,,,3.0,,,1.0,1.0,,,,,
45452,JEON GWAN SOO,4054 W 3RD ST,58,34.0664,118.31,,4.0,11.0,3.0,13.0,10.0,29.0,31.0,2.0,1.0,3.0,2.0,4.0,22.0,,6.0,,,2.0,,26.0,69.0,,2.0,10.0,,7.0,8.0,28.0,6.0,3.0,6.0,
45504,MULTANI GURMEET SINGH,5468 WILSHIRE BLVD,58,34.0621,118.3476,,,,,,,3.0,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,4.0,,,,
45548,EAT CAFE,6100 WEST BLVD APT 10,58,33.9881,118.3344,1.0,5.0,22.0,11.0,40.0,24.0,34.0,76.0,3.0,3.0,6.0,1.0,6.0,46.0,,11.0,,,6.0,,72.0,247.0,,29.0,35.0,,15.0,17.0,22.0,10.0,21.0,36.0,
45564,PANDA BOWL EXPRESS,2000 W 6TH ST,58,34.0589,118.2738,,,1.0,,,,3.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
45590,LEWIS JENNIE FA INC,726 E 42ND ST,58,34.0087,118.2589,7.0,10.0,38.0,20.0,27.0,37.0,31.0,71.0,1.0,1.0,2.0,,2.0,19.0,,2.0,,,3.0,,59.0,125.0,,33.0,21.0,,6.0,13.0,13.0,5.0,7.0,21.0,
45720,PURANS RESTAURANT,2064 HILLHURST AVE,58,34.1092,118.2874,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
45742,SAVEURS INC,1630 SILVERWOOD TER,58,34.0877,118.2677,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
46069,TEKILA,6541 HOLLYWOOD BLVD,58,34.1017,118.3326,,,1.0,,6.0,1.0,7.0,9.0,,,,,,2.0,,,,,2.0,,2.0,,,,,,,4.0,,,1.0,,1.0
46212,LIPSTICK CAFE INC,5000 W SUNSET BLVD,58,34.098,118.2985,,,,,,,1.0,,2.0,,,,,,,,,,,,,1.0,,,,,,,17.0,,,,
46273,KIME CHANG BUM,3345 WILSHIRE BLVD,58,34.0619,118.2961,1.0,1.0,5.0,,5.0,1.0,7.0,10.0,1.0,11.0,1.0,1.0,26.0,32.0,,8.0,,,1.0,,5.0,48.0,,3.0,,,4.0,3.0,8.0,43.0,3.0,9.0,
46323,TAMON,328 E 1ST ST,58,34.0497,118.2403,,,,,,,4.0,2.0,,,,,,1.0,,1.0,,,4.0,,,1.0,,,,,,,,,,,
46396,HONG KONG EXPRESS,261 E ADAMS BLVD,58,34.0087,118.2589,7.0,10.0,38.0,20.0,27.0,37.0,31.0,71.0,1.0,1.0,2.0,,2.0,19.0,,2.0,,,3.0,,59.0,125.0,,33.0,21.0,,6.0,13.0,13.0,5.0,7.0,21.0,
46444,KAILEYS RESTAURANT,3600 N BROADWAY,58,34.0736,118.2023,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
46556,RIKY TIKY TACO INC,12313 DEWEY ST,58,34.0167,118.4424,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
46570,DRUGSTORE CAFE INC,1521 CARDIFF AVE,58,34.0531,118.3806,5.0,3.0,18.0,3.0,23.0,26.0,22.0,84.0,1.0,3.0,3.0,,5.0,41.0,,13.0,,,1.0,,49.0,290.0,,9.0,15.0,,35.0,18.0,42.0,12.0,8.0,13.0,1.0
46593,JK CAFE INC,3540 WILSHIRE BLVD,58,34.0615,118.3018,1.0,2.0,9.0,1.0,10.0,8.0,11.0,24.0,1.0,24.0,6.0,4.0,15.0,35.0,,23.0,,,2.0,,18.0,116.0,,4.0,3.0,,3.0,13.0,67.0,89.0,10.0,12.0,2.0
46625,LOS GUERITOS 2,1200 MAPLE AVE,58,34.0354,118.2562,,,1.0,,3.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
46681,LITTLE DOMS,2128 HILLHURST AVE,58,34.1108,118.2872,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,
46748,NICOLAS RESTAURANT,960 S GERHART AVE,58,34.0163,118.147,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
46843,EAGLE LA INC,4219 SANTA MONICA BLVD,58,34.0911,118.2838,,,,,,,3.0,,,,,,,1.0,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,
46865,SYNERGY WINE BAR,7469 MELROSE AVE STE 33,58,34.0837,118.3527,,,2.0,,10.0,,5.0,4.0,,1.0,,,,3.0,,,,,,,3.0,11.0,,,,,8.0,4.0,1.0,,1.0,,
46957,HARVARD STONE,5221 HOLLYWOOD BLVD,58,34.1018,118.3041,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47000,BAE S RESTAURANT INC,3074 W 8TH ST,58,34.0575,118.2936,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47132,MAMA ACCESORIES,631 S BROADWAY,58,34.0462,118.2525,,,,,3.0,1.0,3.0,16.0,1.0,,,,,,,,,,,,,2.0,,,1.0,,,,,1.0,,,
47168,LA PLACITA COFFEE HOUSE LLC,845 N ALAMEDA ST,58,34.056999999999995,118.2374,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47238,AVERY LOPEZ LLC,304 W CENTURY BLVD,58,33.9454,118.2786,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
47255,BAJA FRESH 104 MIRCL MIL,5757 WILSHIRE BLVD,58,34.0625,118.3535,,2.0,3.0,2.0,1.0,10.0,4.0,6.0,1.0,3.0,4.0,2.0,11.0,19.0,,13.0,,,,,15.0,68.0,,3.0,3.0,,23.0,19.0,48.0,28.0,5.0,7.0,1.0
47329,FAT ORANGE CAT INC,500 S SEPULVEDA BLVD,58,34.0661,118.46,,,,,,1.0,4.0,1.0,,,2.0,,4.0,23.0,,2.0,,,1.0,,,18.0,,,,,29.0,6.0,5.0,4.0,,1.0,
47424,JAMBA JUICE COMPANY,11666 NATIONAL BLVD,58,34.0226,118.4383,,,3.0,,1.0,5.0,1.0,3.0,,2.0,,,,1.0,,4.0,,,,,1.0,16.0,,,,,9.0,2.0,,3.0,,2.0,
47425,FEED YOU WELL INC,1147 W WASHINGTON BLVD,58,34.0389,118.2818,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47508,OTTO TACO,4425 E OLYMPIC BLVD,58,34.019,118.1761,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
47618,FAMOUS SPOT INC,6138 N FIGUEROA ST,58,34.1133,118.1863,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47654,KALBI BURGER,4001 WILSHIRE BLVD STE E,58,34.0618,118.3143,1.0,,1.0,,4.0,1.0,6.0,7.0,,1.0,1.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,
47711,GUI IL BUN JI INC,1806 MARENGO ST,58,34.0583,118.2116,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47788,PALACE,2112 HILLHURST AVE,58,34.1103,118.2873,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47789,WAFFLE LLC,6255 W SUNSET BLVD,58,34.0981,118.3254,,,,,3.0,6.0,5.0,7.0,4.0,2.0,3.0,,1.0,10.0,,8.0,,,,,2.0,51.0,,2.0,,,29.0,25.0,6.0,57.0,2.0,2.0,1.0
47793,PIZZA CRUISER,4449 PROSPECT AVE,58,34.1019,118.2862,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
47900,PARKS BBQ EXPRESS INC,600 W 9TH ST,58,34.045,118.2605,,1.0,2.0,,6.0,1.0,3.0,3.0,,1.0,1.0,,,4.0,,6.0,,,,,2.0,27.0,,,,,,,2.0,2.0,,,
47937,VALENCIA GROUP LLC,800 W OLYMPIC BLVD,58,34.0448,118.2641,1.0,,,,,,6.0,1.0,,,,,,1.0,,2.0,,,1.0,,2.0,2.0,,,,,3.0,11.0,,1.0,,,2.0
47970,HAN KOOK SOONDAE,730 S WESTERN AVE STE 111,58,34.0588,118.3089,,,4.0,,2.0,1.0,4.0,4.0,,,,,2.0,,,,,,,,6.0,6.0,,1.0,,,,,8.0,1.0,,,
48004,TROY DRIVE IN NO 1,4260 E CESAR E CHAVEZ AVE,58,34.0404,118.1739,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
48189,GARCIA ALBERT C,9800 S MAIN ST,58,33.9471,118.2737,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
48215,HOUSTON PLOENPIDH POLA,3514 W 3RD ST,58,34.0664,118.31,,4.0,11.0,3.0,13.0,10.0,29.0,31.0,2.0,1.0,3.0,2.0,4.0,22.0,,6.0,,,2.0,,26.0,69.0,,2.0,10.0,,7.0,8.0,28.0,6.0,3.0,6.0,
48394,RED OVEN BAKERY & DELI,4626 W ADAMS BLVD,58,34.0324,118.3411,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
48417,LA TORTA LOCA,855 SANTEE ST STE A,58,34.0407,118.2526,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
48493,DELSHAD ARBYS,3342 S LA CIENEGA BLVD,58,34.0289,118.3534,2.0,1.0,11.0,18.0,24.0,31.0,27.0,78.0,2.0,2.0,2.0,,6.0,21.0,,5.0,,,4.0,,50.0,185.0,,26.0,39.0,,12.0,12.0,22.0,7.0,9.0,17.0,
48494,SPICE RESTAURANT,2011 N HIGHLAND AVE,58,34.1068,118.3377,,,,,,,4.0,1.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,
48637,SHIN BEIJING CO,3209 W OLYMPIC BLVD,58,34.0527,118.3066,,,1.0,,,2.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,
48672,INTERNATIONAL HSE PANCAKES LLC,8600 S SEPULVEDA BLVD,58,33.9596,118.396,,,,,,1.0,2.0,,,,,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,
