Geo ID,Geographic Area Name,Median contract rent
8600000US90803,ZCTA5 90803,1628
8600000US90804,ZCTA5 90804,1274
8600000US90805,ZCTA5 90805,1133
8600000US90806,ZCTA5 90806,1093
8600000US90807,ZCTA5 90807,1333
8600000US90808,ZCTA5 90808,1646
8600000US90810,ZCTA5 90810,1108
8600000US90813,ZCTA5 90813,1078
8600000US90814,ZCTA5 90814,1392
8600000US90815,ZCTA5 90815,1782
8600000US90822,ZCTA5 90822,-
8600000US90831,ZCTA5 90831,-
8600000US91001,ZCTA5 91001,1539
8600000US91006,ZCTA5 91006,1650
8600000US91007,ZCTA5 91007,1493
8600000US91008,ZCTA5 91008,2516
8600000US91010,ZCTA5 91010,1472
8600000US91011,ZCTA5 91011,2745
8600000US91016,ZCTA5 91016,1439
8600000US91020,ZCTA5 91020,1575
8600000US91024,ZCTA5 91024,1577
8600000US91030,ZCTA5 91030,1710
8600000US91040,ZCTA5 91040,1217
8600000US91042,ZCTA5 91042,1340
8600000US91046,ZCTA5 91046,1226
8600000US91101,ZCTA5 91101,1685
8600000US91103,ZCTA5 91103,1344
8600000US91104,ZCTA5 91104,1387
8600000US91105,ZCTA5 91105,2308
8600000US91106,ZCTA5 91106,1605
8600000US91107,ZCTA5 91107,1595
8600000US91108,ZCTA5 91108,2867
8600000US91201,ZCTA5 91201,1411
8600000US91202,ZCTA5 91202,1663
8600000US91203,ZCTA5 91203,1484
8600000US91204,ZCTA5 91204,1307
8600000US91205,ZCTA5 91205,1349
8600000US91206,ZCTA5 91206,1504
8600000US91207,ZCTA5 91207,1626
8600000US91208,ZCTA5 91208,1848
8600000US91210,ZCTA5 91210,3458
8600000US91214,ZCTA5 91214,1788
8600000US91301,ZCTA5 91301,2353
8600000US91302,ZCTA5 91302,2329
8600000US91303,ZCTA5 91303,1401
8600000US91304,ZCTA5 91304,1399
8600000US91306,ZCTA5 91306,1299
8600000US91307,ZCTA5 91307,2393
8600000US91311,ZCTA5 91311,1686
8600000US91316,ZCTA5 91316,1637
8600000US91320,ZCTA5 91320,2083
8600000US91321,ZCTA5 91321,1558
8600000US91324,ZCTA5 91324,1564
8600000US91325,ZCTA5 91325,1450
8600000US91326,ZCTA5 91326,1820
8600000US91330,ZCTA5 91330,-
8600000US91331,ZCTA5 91331,1252
8600000US91335,ZCTA5 91335,1340
8600000US91340,ZCTA5 91340,1250
8600000US91342,ZCTA5 91342,1400
8600000US91343,ZCTA5 91343,1230
8600000US91344,ZCTA5 91344,1568
8600000US91345,ZCTA5 91345,1421
8600000US91350,ZCTA5 91350,1822
8600000US91351,ZCTA5 91351,1631
8600000US91352,ZCTA5 91352,1223
8600000US91354,ZCTA5 91354,2215
8600000US91355,ZCTA5 91355,1902
8600000US91356,ZCTA5 91356,1491
8600000US91360,ZCTA5 91360,1834
8600000US91361,ZCTA5 91361,2155
8600000US91362,ZCTA5 91362,1982
8600000US91364,ZCTA5 91364,2272
8600000US91367,ZCTA5 91367,2019
8600000US91371,ZCTA5 91371,-
8600000US91377,ZCTA5 91377,2322
8600000US91381,ZCTA5 91381,1946
8600000US91384,ZCTA5 91384,1447
8600000US91387,ZCTA5 91387,1788
8600000US91390,ZCTA5 91390,1975
8600000US91401,ZCTA5 91401,1286
8600000US91402,ZCTA5 91402,1183
8600000US91403,ZCTA5 91403,1809
8600000US91405,ZCTA5 91405,1202
8600000US91406,ZCTA5 91406,1329
8600000US91411,ZCTA5 91411,1321
8600000US91423,ZCTA5 91423,1736
8600000US91436,ZCTA5 91436,2348
8600000US91501,ZCTA5 91501,1534
8600000US91502,ZCTA5 91502,1386
8600000US91504,ZCTA5 91504,1549
8600000US91505,ZCTA5 91505,1729
8600000US91506,ZCTA5 91506,1477
