id,Geographic Area Name,Total,Median income,Mean income
8600000US90604,ZCTA5 90604,12432,81419,97017
8600000US90605,ZCTA5 90605,10382,81225,101218
8600000US90606,ZCTA5 90606,8996,80244,91800
8600000US90620,ZCTA5 90620,13142,96737,114363
8600000US90621,ZCTA5 90621,10366,68410,86538
8600000US90623,ZCTA5 90623,4845,126202,136401
8600000US90630,ZCTA5 90630,15804,102230,124701
8600000US90631,ZCTA5 90631,21229,86935,111761
8600000US90638,ZCTA5 90638,14350,103198,117964
8600000US90640,ZCTA5 90640,18898,62265,79352
8600000US90650,ZCTA5 90650,26964,75219,85891
8600000US90660,ZCTA5 90660,16852,73010,86879
8600000US90670,ZCTA5 90670,4862,82614,93883
8600000US90680,ZCTA5 90680,9037,64877,79916
8600000US90701,ZCTA5 90701,4468,70625,88513
8600000US90703,ZCTA5 90703,15515,113282,132560
8600000US90704,ZCTA5 90704,1553,80583,102487
8600000US90706,ZCTA5 90706,23240,65840,83307
8600000US90710,ZCTA5 90710,9230,69722,88850
8600000US90712,ZCTA5 90712,10338,106940,118463
8600000US90713,ZCTA5 90713,9111,113007,122800
8600000US90715,ZCTA5 90715,6018,81656,94554
8600000US90716,ZCTA5 90716,3670,54628,60788
8600000US90717,ZCTA5 90717,8477,89241,108359
8600000US90720,ZCTA5 90720,7843,126031,154399
8600000US90723,ZCTA5 90723,14207,58605,66336
8600000US90731,ZCTA5 90731,22695,62705,89498
8600000US90732,ZCTA5 90732,8810,122765,139066
8600000US90740,ZCTA5 90740,12550,111419,153326
8600000US90742,ZCTA5 90742,379,98125,160060
8600000US90743,ZCTA5 90743,110,155250,156542
8600000US90744,ZCTA5 90744,14788,52391,68362
8600000US90745,ZCTA5 90745,14936,84052,101944
8600000US90746,ZCTA5 90746,8205,103709,118462
8600000US90747,ZCTA5 90747,0,-,-
8600000US90755,ZCTA5 90755,4743,83268,109255
8600000US90802,ZCTA5 90802,20756,63431,87827
8600000US90803,ZCTA5 90803,16718,128663,169478
8600000US90804,ZCTA5 90804,14955,52860,73762
8600000US90805,ZCTA5 90805,27354,52756,66384
8600000US90806,ZCTA5 90806,12788,56471,74147
8600000US90807,ZCTA5 90807,12741,94895,126313
8600000US90808,ZCTA5 90808,13916,128413,147999
8600000US90810,ZCTA5 90810,9400,63193,80674
8600000US90813,ZCTA5 90813,17192,39407,51745
8600000US90814,ZCTA5 90814,9165,95795,126730
8600000US90815,ZCTA5 90815,14556,116786,142218
8600000US90822,ZCTA5 90822,0,-,-
8600000US90831,ZCTA5 90831,0,-,-
8600000US91001,ZCTA5 91001,12669,109270,154879
8600000US91006,ZCTA5 91006,10575,109785,145364
8600000US91007,ZCTA5 91007,11657,100194,129066
8600000US91008,ZCTA5 91008,426,146563,207729
8600000US91010,ZCTA5 91010,8060,93343,110766
8600000US91011,ZCTA5 91011,6434,197891,276590
