,Company,TradeName,Address,ZipCode,DunsNumber,HQDuns,HQTradeName,Subsidiary,Latitude,Longitude,SIC2,SIC4,SIC8,Industry,IndustryGroup,YearStart,OutofBis,FirstYear,LastYear,Minority,WomenOwned,Sales90,SalesC90,Sales91,SalesC91,Sales92,SalesC92,Sales93,SalesC93,Sales94,SalesC94,Sales95,SalesC95,Sales96,SalesC96,Sales97,SalesC97,Sales98,SalesC98,Sales99,SalesC99,Sales00,SalesC00,Sales01,SalesC01,Sales02,SalesC02,Sales03,SalesC03,Sales04,SalesC04,Sales05,SalesC05,Sales06,SalesC06,Sales07,SalesC07,Sales08,SalesC08,Sales09,SalesC09,Sales10,SalesC10,Sales11,SalesC11,Sales12,SalesC12,Sales13,SalesC13,Sales14,SalesC14,DnBRating91,DnBRating92,DnBRating93,DnBRating94,DnBRating95,DnBRating96,DnBRating97,DnBRating98,DnBRating99,DnBRating00,DnBRating01,DnBRating02,DnBRating03,DnBRating04,DnBRating05,DnBRating06,DnBRating07,DnBRating08,DnBRating09,DnBRating10,DnBRating11,DnBRating12,DnBRating13,DnBRating14
866,HAKIMIANPOUR RESTAURANT GROUP,BURGER KING,11110 OHIO AVE STE 107,90025,1870294,1870294,BURGER KING,N,34.0501,118.4467,58,5812,58120307,"Fast-food restaurant, chain",Eating and Drinking Places,1985,NA,1989,2014,NA,NA,1300000,0,1300000,0,1300000,0,1300000,0,1034000,3,1056000,3,648000,3,648000,3,1440000,3,1800000,3,1800000,3,480000,3,480000,3,363636,3,177778,3,177778,3,178000,3,108889,3,135000,3,135000,3,135000,3,150000,3,167500,3,170000,3,170000,3,--,--,--,--,--,1R3,1R3,1R2,1R2,1R3,1R3,1R3,1R3,1R3,1R3,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2
1132,TANGY THAI RESTAURANT,NA,7363 W SUNSET BLVD,90046,2018667,2018667,NA,N,34.0981,118.3504,58,5812,58120115,Thai restaurant,Eating and Drinking Places,2007,NA,2007,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E+05,3,3.00E+05,3,3.00E+05,3,3.00E+05,3,297100,3,3.00E+05,3,3.00E+05,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1137,TODAI FRANCHISING LLC,NA,3700 WILSHIRE BLVD,90010,2019995,2019995,NA,N,34.0615,118.3067,58,5812,58120700,Seafood restaurants,Eating and Drinking Places,1997,NA,1997,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00E+06,3,5.00E+06,3,5140100,3,5140100,3,5024500,3,945900,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,1R3,1R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1321,TAJMAHL OF INDIA,NA,8566 W PICO BLVD,90035,2073168,2073168,NA,N,34.0535,118.3775,58,5812,58120107,Indian/Pakistan restaurant,Eating and Drinking Places,2008,NA,2008,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416000,3,453300,3,416000,3,416000,3,444400,3,444400,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1642,S BAR,NA,6304 HOLLYWOOD BLVD,90028,2163904,2163904,NA,N,34.0997,118.3272,58,5812,58129909,Health food restaurant,Eating and Drinking Places,2007,NA,2007,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187500,3,187500,3,187500,3,187500,3,185700,3,187500,3,187500,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1666,PITFIRE WESTWOOD LLC,PITFIRE PIZZA,108 W 2ND ST APT 210,90012,2167490,2167490,PITFIRE PIZZA,N,34.051,118.2449,58,5812,58120600,Pizza restaurants,Eating and Drinking Places,NA,NA,2009,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,756000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,NA,NA,NA,NA
1703,CASA NOODLE TERIYAKI,NA,5930 S MAIN ST,90003,2179520,2179520,NA,N,33.9864,118.2737,58,5812,58120109,Japanese restaurant,Eating and Drinking Places,2007,NA,2007,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00E+05,3,4.00E+05,3,4.00E+05,3,4.00E+05,3,4.00E+05,3,4.00E+05,3,4.00E+05,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1775,MARES LLC,PORTERS RESTAURANT,11690 SAN VICENTE BLVD,90049,2235484,2235484,PORTERS RESTAURANT,N,34.0535,118.4647,58,5812,58120104,French restaurant,Eating and Drinking Places,1997,NA,1997,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1344000,3,1306700,3,1317600,3,1292300,3,1260000,3,1303100,3,1292300,3,1292300,3,1260000,3,1292300,3,1260000,3,1306700,3,1300000,3,1272700,3,1292300,3,1292300,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,NA
1973,TENNO SUSHI 2,NA,2321 E 1ST ST,90033,2285140,2285140,NA,N,34.0442,118.2105,58,5812,58120109,Japanese restaurant,Eating and Drinking Places,2010,NA,2010,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310000,3,310000,3,285700,3,3.00E+05,3,314300,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2345,TAVARES UNI,JACK IN THE BOX,1415 S ALAMEDA ST,90021,2493364,2493364,JACK IN THE BOX,N,34.025,118.2393,58,5812,58120307,"Fast-food restaurant, chain",Eating and Drinking Places,2000,NA,2000,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162600,3,159400,3,166700,3,175200,3,177800,3,179300,3,196100,3,190000,3,190500,3,183300,3,185700,3,178600,3,185700,3,187500,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,DS,NA,NA,NA,DS,DS,DS,DS,NA,DS
2422,LA BONITA RESTAURANT,NA,5253 SANTA MONICA BLVD,90029,2509839,2509839,NA,N,34.0908,118.3042,58,5812,58120100,Ethnic food restaurants,Eating and Drinking Places,NA,NA,2006,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155600,3,164300,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,NA,NA,NA,NA,NA,NA
2523,TAYLA ENTERPRISES INC,EL POLLO LOCO,12860 W WASHINGTON BLVD,90066,2533565,2533565,EL POLLO LOCO,N,33.9952,118.4378,58,5812,58120112,Mexican restaurant,Eating and Drinking Places,1997,NA,1997,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266700,3,280000,3,565900,3,565200,3,571400,3,583300,3,6.00E+05,3,6.00E+05,3,6.00E+05,3,588200,3,586500,3,588200,3,6.00E+05,3,6.00E+05,3,6.00E+05,3,6.00E+05,3,6.00E+05,3,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,DS,DS,DS,--,--,--,NA,--,--,--,--,--,--,--
2558,KONG JI NE RESTAURANT,NA,3450 W 6TH ST STE 110,90020,2543248,2543248,NA,N,34.0634,118.2967,58,5812,58120110,Korean restaurant,Eating and Drinking Places,2007,NA,2007,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262500,3,262500,3,262500,3,262500,3,260000,3,262500,3,262500,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2712,MASTER BURGER NO 3,NA,4366 W ADAMS BLVD,90018,2566683,2566683,NA,N,34.0324,118.3341,58,5812,58120308,"Fast-food restaurant, independent",Eating and Drinking Places,2007,NA,2007,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272200,3,280000,3,280000,3,291700,3,297500,3,3.00E+05,3,311100,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
