id,Geographic Area Name,Total
8600000US91331,91331,105458
8600000US91335,91335,81824
8600000US91340,91340,36156
8600000US91342,91342,94595
8600000US91343,91343,66743
8600000US91344,91344,53613
8600000US91345,91345,19145
8600000US91350,91350,36173
8600000US91351,91351,32711
8600000US91352,91352,47076
8600000US91354,91354,32544
8600000US91355,91355,30526
8600000US91356,91356,29822
8600000US91360,91360,43121
8600000US91361,91361,20258
8600000US91362,91362,36604
8600000US91364,91364,27971
8600000US91367,91367,45970
8600000US91371,91371,0
8600000US91377,91377,13853
8600000US91381,91381,19390
8600000US91384,91384,29212
8600000US91387,91387,42034
8600000US91390,91390,19168
8600000US91401,91401,39755
8600000US91402,91402,72059
8600000US91403,91403,25156
8600000US91405,91405,55506
8600000US91406,91406,54890
8600000US91411,91411,26111
8600000US91423,91423,33172
8600000US91436,91436,15292
8600000US91501,91501,20511
8600000US91502,91502,10708
8600000US91504,91504,26749
8600000US91505,91505,30902
8600000US91506,91506,18591
8600000US91601,91601,36841
8600000US91602,91602,19672
8600000US91604,91604,32910
8600000US91605,91605,53113
8600000US91606,91606,44295
8600000US91607,91607,30611
8600000US91608,91608,21
8600000US91701,91701,39461
8600000US91702,91702,62066
8600000US91706,91706,76930
8600000US91708,91708,4009
8600000US91709,91709,80701
8600000US91710,91710,91773
8600000US91711,91711,36777
8600000US91722,91722,34631
8600000US91723,91723,18521
8600000US91724,91724,26717
8600000US91730,91730,72407
8600000US91731,91731,30222
8600000US91732,91732,62905
8600000US91733,91733,45365
8600000US91737,91737,25154
8600000US91739,91739,39875
8600000US91740,91740,25877
8600000US91741,91741,26794
8600000US91744,91744,85421
8600000US91745,91745,55202
8600000US91746,91746,29709
8600000US91748,91748,47079
8600000US91750,91750,34129
8600000US91752,91752,35694
8600000US91754,91754,33636
8600000US91755,91755,26803
8600000US91759,91759,307
8600000US91761,91761,61425
8600000US91762,91762,61718
8600000US91763,91763,38863
8600000US91764,91764,56677
8600000US91765,91765,46593
8600000US91766,91766,72348
8600000US91767,91767,50606
8600000US91768,91768,35191
8600000US91770,91770,62703
8600000US91773,91773,34007
8600000US91775,91775,25004
8600000US91776,91776,38664
8600000US91780,91780,35133
8600000US91784,91784,26090
8600000US91786,91786,53697
8600000US91789,91789,44440
8600000US91790,91790,45444
8600000US91791,91791,33397
8600000US91792,91792,29619
8600000US91801,91801,54768
8600000US91803,91803,29567
8600000US91901,91901,18162
8600000US91902,91902,18896
8600000US91905,91905,1472
8600000US91906,91906,4428
8600000US91910,91910,74855
8600000US91911,91911,84026
8600000US91913,91913,54114
8600000US91914,91914,17379
8600000US91915,91915,33485
8600000US91916,91916,1939
8600000US91917,91917,986
8600000US91931,91931,613
8600000US91932,91932,26492
8600000US91934,91934,323
8600000US91935,91935,8550
8600000US91941,91941,31918
8600000US91942,91942,40151
8600000US91945,91945,27236
8600000US91948,91948,130
8600000US91950,91950,62859
8600000US91962,91962,2106
8600000US91963,91963,1182
8600000US91977,91977,64750
8600000US91978,91978,10506
8600000US91980,91980,0
8600000US92003,92003,5160
8600000US92004,92004,2299
8600000US92007,92007,11417
8600000US92008,92008,27151
8600000US92009,92009,46612
8600000US92010,92010,16346
8600000US92011,92011,24144
8600000US92014,92014,13568
8600000US92019,92019,43272
8600000US92020,92020,59743
8600000US92021,92021,70148
8600000US92024,92024,51381
8600000US92025,92025,52985
8600000US92026,92026,50321
8600000US92027,92027,56788
8600000US92028,92028,48173
8600000US92029,92029,19382
8600000US92036,92036,2593
8600000US92037,92037,38168
8600000US92040,92040,46306
8600000US92054,92054,41807
8600000US92055,92055,11765
8600000US92056,92056,52337
8600000US92057,92057,60414
8600000US92058,92058,46029
8600000US92059,92059,1464
8600000US92060,92060,166
8600000US92061,92061,2660
8600000US92064,92064,49805
8600000US92065,92065,37505
8600000US92066,92066,693
8600000US92067,92067,7724
8600000US92069,92069,50376
8600000US92070,92070,786
8600000US92071,92071,57710
8600000US92075,92075,12752
8600000US92078,92078,50510
8600000US92081,92081,29596
8600000US92082,92082,18705
8600000US92083,92083,39509
8600000US92084,92084,51619
8600000US92086,92086,1543
8600000US92091,92091,1313
8600000US92101,92101,41159
8600000US92102,92102,44010
8600000US92103,92103,34700
8600000US92104,92104,45435
8600000US92105,92105,73623
8600000US92106,92106,20155
8600000US92107,92107,31223
8600000US92108,92108,22280
8600000US92109,92109,47111
8600000US92110,92110,30108
8600000US92111,92111,50693
8600000US92113,92113,58408
8600000US92114,92114,68851
8600000US92115,92115,64343
8600000US92116,92116,33408
8600000US92117,92117,56983
8600000US92118,92118,22548
8600000US92119,92119,24831
8600000US92120,92120,30550
8600000US92121,92121,4729
8600000US92122,92122,48071
8600000US92123,92123,32473
8600000US92124,92124,32600
8600000US92126,92126,82658
8600000US92127,92127,49935
8600000US92128,92128,51357
8600000US92129,92129,54762
8600000US92130,92130,56134
8600000US92131,92131,34727
8600000US92132,92132,0
8600000US92134,92134,285
8600000US92135,92135,635
8600000US92139,92139,36105
8600000US92140,92140,3737
8600000US92145,92145,1883
8600000US92147,92147,518
8600000US92154,92154,88979
8600000US92155,92155,456
8600000US92173,92173,31000
8600000US92201,92201,65726
8600000US92203,92203,31140
8600000US92210,92210,5138
8600000US92211,92211,25056
8600000US92220,92220,33525
8600000US92222,92222,0
8600000US92223,92223,55580
8600000US92225,92225,22460
8600000US92227,92227,27189
8600000US92230,92230,2705
8600000US92231,92231,40064
8600000US92233,92233,7509
8600000US92234,92234,54357
8600000US92236,92236,45477
8600000US92239,92239,227
8600000US92240,92240,35278
8600000US92241,92241,7699
8600000US92242,92242,1312
8600000US92243,92243,50402
8600000US92249,92249,7861
8600000US92250,92250,8655
8600000US92251,92251,23970
8600000US92252,92252,9351
8600000US92253,92253,40929
8600000US92254,92254,9779
8600000US92256,92256,3100
8600000US92257,92257,1281
8600000US92258,92258,559
8600000US92259,92259,121
8600000US92260,92260,34660
8600000US92262,92262,28618
8600000US92264,92264,20072
8600000US92266,92266,112
8600000US92267,92267,6
8600000US92268,92268,455
8600000US92270,92270,18193
8600000US92273,92273,2010
8600000US92274,92274,15317
8600000US92275,92275,2632
8600000US92276,92276,6748
8600000US92277,92277,23172
8600000US92278,92278,4890
8600000US92280,92280,0
8600000US92281,92281,2591
8600000US92282,92282,1372
8600000US92283,92283,1684
8600000US92284,92284,26182
8600000US92285,92285,2430
8600000US92301,92301,34250
8600000US92304,92304,23
8600000US92305,92305,657
8600000US92307,92307,39149
8600000US92308,92308,42207
8600000US92309,92309,572
8600000US92310,92310,9872
8600000US92311,92311,33454
8600000US92313,92313,12547
8600000US92314,92314,11385
8600000US92315,92315,5247
8600000US92316,92316,28704
8600000US92320,92320,8753
8600000US92321,92321,1042
8600000US92322,92322,672
8600000US92324,92324,59972
8600000US92325,92325,7948
8600000US92327,92327,737
8600000US92328,92328,438
8600000US92332,92332,97
8600000US92333,92333,392
8600000US92335,92335,99306
8600000US92336,92336,98346
8600000US92337,92337,39240
