Geo ID,Geographic Area Name,Aggregate travel time to work (in minutes):,Less than 10 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 44 minutes,45 to 59 minutes,60 or more minutes
8600000US92267,92267,null,null,null,null,null,null,null,null,null,null
8600000US92268,92268,null,null,null,null,null,null,null,null,null,null
8600000US92270,92270,136185,4295,9685,12880,20130,5525,10020,4795,10500,58355
8600000US92273,92273,null,null,null,null,null,null,null,null,null,null
8600000US92274,92274,136920,1950,7840,14590,23680,9700,24400,8235,26110,20420
8600000US92275,92275,null,null,null,null,null,null,null,null,null,null
8600000US92276,92276,50710,2080,6330,6405,11310,3290,10410,3890,-,6990
8600000US92277,92277,179860,8835,22215,32560,33405,5700,15450,8100,7610,45985
8600000US92278,92278,null,null,null,null,null,null,null,null,null,null
8600000US92280,92280,-,-,-,-,-,-,-,-,-,-
8600000US92281,92281,null,null,null,null,null,null,null,null,null,null
8600000US92282,92282,13040,55,330,515,1860,2075,1800,845,1100,4460
8600000US92283,92283,null,null,null,null,null,null,null,null,null,null
8600000US92284,92284,257605,9165,22340,9150,13760,1975,18270,30745,50130,102065
8600000US92285,92285,null,null,null,null,null,null,null,null,null,null
8600000US92301,92301,390550,3040,13525,16120,17675,7425,30690,28085,54355,219635
8600000US92304,92304,null,null,null,null,null,null,null,null,null,null
8600000US92305,92305,null,null,null,null,null,null,null,null,null,null
8600000US92307,92307,446250,7700,19715,33815,53315,17375,32310,20320,54550,207145
8600000US92308,92308,480885,5850,14795,36520,32990,11445,45150,17190,38595,278355
8600000US92309,92309,null,null,null,null,null,null,null,null,null,null
8600000US92310,92310,null,null,null,null,null,null,null,null,null,null
8600000US92311,92311,272190,17660,25805,19610,11620,3500,11910,19815,65545,96725
8600000US92313,92313,160155,3235,7965,13700,26745,8535,16170,14850,23625,45330
8600000US92314,92314,123860,4250,8145,14420,12920,950,7320,-,7075,68775
8600000US92315,92315,null,null,null,null,null,null,null,null,null,null
8600000US92316,92316,333440,3060,14310,28885,44025,17500,69210,25260,24955,106240
8600000US92320,92320,108615,620,2530,6375,10800,8050,9750,11445,16345,42700
8600000US92321,92321,null,null,null,null,null,null,null,null,null,null
8600000US92322,92322,null,null,null,null,null,null,null,null,null,null
8600000US92324,92324,643905,9670,33080,72790,82545,46930,88320,57420,58765,194390
8600000US92325,92325,126305,1150,1980,4605,5640,2750,11760,7010,35475,55935
8600000US92327,92327,null,null,null,null,null,null,null,null,null,null
8600000US92328,92328,null,null,null,null,null,null,null,null,null,null
8600000US92332,92332,null,null,null,null,null,null,null,null,null,null
8600000US92333,92333,null,null,null,null,null,null,null,null,null,null
8600000US92335,92335,1140535,15080,48400,91305,118885,62715,189540,85815,105250,423545
8600000US92336,92336,1592335,10895,41110,84045,151385,63395,184850,130000,159780,766875
8600000US92337,92337,598390,4840,18880,45450,55355,31725,78210,38560,53095,272275
8600000US92338,92338,-,-,-,-,-,-,-,-,-,-
8600000US92339,92339,null,null,null,null,null,null,null,null,null,null
8600000US92341,92341,null,null,null,null,null,null,null,null,null,null
8600000US92342,92342,null,null,null,null,null,null,null,null,null,null
8600000US92344,92344,384170,2620,4280,15825,22930,3700,28545,31175,72825,202270
8600000US92345,92345,1109445,10000,30175,50970,57800,21450,75140,65940,197535,600435
8600000US92346,92346,644420,9075,41360,79820,77990,35580,90400,49665,62925,197610
8600000US92347,92347,null,null,null,null,null,null,null,null,null,null
8600000US92352,92352,null,null,null,null,null,null,null,null,null,null
8600000US92354,92354,208320,7570,13465,23215,18480,22300,31980,11800,21410,58105
8600000US92356,92356,null,null,null,null,null,null,null,null,null,null
8600000US92358,92358,null,null,null,null,null,null,null,null,null,null
8600000US92359,92359,112170,1215,4565,12515,18440,7110,17865,8685,14850,26925
8600000US92363,92363,null,null,null,null,null,null,null,null,null,null
8600000US92364,92364,-,-,-,-,-,-,-,-,-,-
8600000US92365,92365,26950,1010,390,2055,1460,-,3090,3845,1035,14070
8600000US92368,92368,null,null,null,null,null,null,null,null,null,null
8600000US92371,92371,247960,2845,5000,4215,9215,5180,16740,26645,48085,130035
8600000US92372,92372,null,null,null,null,null,null,null,null,null,null
8600000US92373,92373,337775,11635,24110,32510,50160,16900,59370,31535,29310,82240
8600000US92374,92374,433090,14480,37985,54260,43455,18865,74430,36875,42595,110150
8600000US92376,92376,1086320,12515,33050,79480,130305,58385,159930,84235,109150,419270
8600000US92377,92377,325645,1495,7630,15310,32770,12425,43350,28940,36700,147025
8600000US92378,92378,null,null,null,null,null,null,null,null,null,null
8600000US92382,92382,60090,805,1785,3480,2360,1225,7320,6040,10040,27030
8600000US92384,92384,null,null,null,null,null,null,null,null,null,null
8600000US92385,92385,null,null,null,null,null,null,null,null,null,null
8600000US92386,92386,null,null,null,null,null,null,null,null,null,null
8600000US92389,92389,null,null,null,null,null,null,null,null,null,null
8600000US92391,92391,null,null,null,null,null,null,null,null,null,null
8600000US92392,92392,780540,9615,18100,43440,50590,8750,45700,51930,137095,415315
8600000US92394,92394,366400,4325,18870,21845,16415,5275,26100,23090,44615,205865
8600000US92395,92395,455035,10360,23175,23605,29160,11500,18390,25685,61265,251895
8600000US92397,92397,null,null,null,null,null,null,null,null,null,null
8600000US92398,92398,null,null,null,null,null,null,null,null,null,null
8600000US92399,92399,691910,9580,24390,38845,88355,37265,141420,55310,92100,204640
8600000US92401,92401,null,null,null,null,null,null,null,null,null,null
8600000US92404,92404,638740,10840,35195,67195,91005,34500,108265,42510,74385,174845
8600000US92405,92405,310260,3915,18275,31370,30900,18115,52560,24200,26120,104805
8600000US92407,92407,823195,7410,27545,56455,96865,52790,117930,62505,78225,323475
8600000US92408,92408,134820,2575,6800,10270,13540,7600,21180,9530,9830,53495
8600000US92410,92410,456955,5675,17170,43995,59340,29515,68700,40980,43605,147975
8600000US92411,92411,255615,2205,13425,23255,34900,11655,54190,11525,33985,70480
8600000US92501,92501,286475,4780,12580,18885,42735,15335,32820,13405,20720,125215
8600000US92503,92503,1498405,13990,45435,78295,106140,57325,194080,125405,168925,708820
8600000US92504,92504,806070,12345,27125,49325,58680,33375,132270,54840,89890,348220
8600000US92505,92505,863590,8225,26715,38370,68975,29330,112225,80725,107985,391040
8600000US92506,92506,583620,7090,31525,49085,53970,31300,84900,48920,70650,206180
8600000US92507,92507,629175,16865,40090,59495,79020,25160,99390,52525,47400,209230
8600000US92508,92508,597930,3665,12000,30420,66850,29625,87960,55735,88095,223580
8600000US92509,92509,1060440,8745,29980,76620,116375,61620,164855,58945,86945,456360
8600000US92518,92518,null,null,null,null,null,null,null,null,null,null
8600000US92530,92530,968005,5820,12960,43450,37110,25780,94335,63090,126185,559275
8600000US92532,92532,507680,2320,4550,13005,8640,12150,46490,39175,56770,324580
8600000US92536,92536,null,null,null,null,null,null,null,null,null,null
8600000US92539,92539,55300,630,1700,765,1260,-,1650,3115,8910,37270
8600000US92543,92543,385245,8495,18220,13010,15320,7800,44430,27695,48875,201405
8600000US92544,92544,648435,8855,27180,30680,29330,12430,50840,47250,99740,342125
8600000US92545,92545,442080,7135,18200,16930,19345,19030,50430,30805,56130,224075
8600000US92548,92548,94855,785,1700,6000,6260,4480,16890,18605,7885,32250
8600000US92549,92549,null,null,null,null,null,null,null,null,null,null
8600000US92551,92551,542480,3865,15650,23625,22250,13025,76500,44815,69580,273175
8600000US92553,92553,936850,11605,43810,55535,65860,37625,143585,77980,138575,362270
8600000US92555,92555,785150,6455,15680,40385,31025,21020,79440,69045,126095,396010
8600000US92557,92557,800005,7585,25950,43530,51860,33925,123420,79750,106320,327665
8600000US92561,92561,null,null,null,null,null,null,null,null,null,null
8600000US92562,92562,891010,13830,38730,56155,58675,20850,71790,37200,95825,497960
8600000US92563,92563,1017255,10145,38935,65285,49375,15480,57960,56845,117785,605450
8600000US92567,92567,188310,650,3080,9045,6080,5925,21090,12625,17765,112050
8600000US92570,92570,867245,4020,17705,47535,48830,30420,131135,74040,95570,417990
8600000US92571,92571,859260,7115,21325,45640,40480,19775,120255,69450,116160,419060
8600000US92582,92582,225120,4340,6240,9240,11110,7300,29250,28625,34865,94150
8600000US92583,92583,441645,8785,16160,12175,17150,9650,34915,35335,55435,252040
8600000US92584,92584,903400,5580,19995,30920,49495,28645,72450,41225,107555,547535
8600000US92585,92585,368475,1075,6465,8220,25580,15470,46440,20275,31530,213415
8600000US92586,92586,232265,2525,4520,6690,16150,8175,25680,9025,29200,130305
8600000US92587,92587,298265,2415,5800,9485,16155,6050,31365,12075,37315,177610
8600000US92590,92590,null,null,null,null,null,null,null,null,null,null
8600000US92591,92591,623580,9790,25935,36255,35400,14275,28550,52755,66150,354470
8600000US92592,92592,1329795,19670,40305,72865,67465,28760,67740,65615,158250,809125
8600000US92595,92595,532125,5500,17930,34475,32705,13075,42780,24265,50925,310475
8600000US92596,92596,536855,2275,5985,20510,32710,14350,51630,19920,44475,345000
8600000US92602,92602,289830,2475,6740,23990,42685,13650,60480,14895,35980,88935
8600000US92603,92603,244115,2145,8840,26860,35200,13755,36240,12960,20860,87255
8600000US92604,92604,278565,4795,18425,40870,55370,22975,44940,15360,16055,59775
8600000US92606,92606,320010,4780,18805,41360,50260,20625,55770,23630,20935,83845
8600000US92610,92610,224310,5115,7475,16685,29570,23470,37615,31035,24245,49095
8600000US92612,92612,328410,6820,32760,58900,42540,21100,55740,12935,29050,68570
8600000US92614,92614,341485,5900,26125,43915,43375,19515,34260,13540,19915,134935
8600000US92617,92617,114770,6050,14775,20625,18820,8900,13320,3290,1240,27750
8600000US92618,92618,569585,10170,35970,57045,80260,37295,110640,43225,47210,147765
8600000US92620,92620,585935,5200,24810,44495,83680,59640,124815,44965,66535,131795
8600000US92624,92624,72755,2025,3700,5955,3460,6375,9570,14430,10405,16835
8600000US92625,92625,117070,3420,8835,16615,14100,5975,22590,4785,13420,27325
8600000US92626,92626,590875,18145,49870,84875,95945,35325,96420,38790,47790,123715
8600000US92627,92627,750945,17115,56200,99360,96735,43165,153930,50170,53025,181250
8600000US92629,92629,332210,7820,13685,22490,26850,17840,57480,36660,43400,105990
8600000US92630,92630,770875,14050,42405,81505,93815,51850,165225,74640,80700,166685
8600000US92637,92637,58130,1790,4480,7065,6960,4925,15090,2540,2195,13085
8600000US92646,92646,731680,11335,30480,49545,78930,44790,126940,75005,104220,210435
8600000US92647,92647,908965,13260,31120,53495,84075,42695,192200,102200,179580,210335
8600000US92648,92648,676905,9355,16380,46955,63100,41290,125130,91570,89445,193675
8600000US92649,92649,561485,6490,13855,24730,36275,31565,90935,67620,115745,174270
8600000US92651,92651,274575,8340,8450,10220,21055,18375,72360,25095,34865,75820
8600000US92653,92653,359950,7370,24610,32935,54250,26110,57870,25950,27715,103135
8600000US92655,92655,67225,1145,3135,5835,12280,5700,13380,11010,6040,8700
8600000US92656,92656,696735,15290,26145,64910,90285,49130,131820,74090,82055,163010
8600000US92657,92657,120875,340,4015,9345,20320,7750,22290,6140,15730,34945
8600000US92660,92660,324670,10855,29865,43665,37095,20175,42870,20270,40445,79435
8600000US92661,92661,42485,265,1165,4470,7640,3150,8670,4975,5110,7040
8600000US92662,92662,21555,950,3040,3475,3460,1425,2460,-,1395,5355
8600000US92663,92663,317260,5375,9975,33455,46745,23820,50850,26435,44085,76520
8600000US92672,92672,442670,11380,24515,32685,25930,19240,67680,49205,74070,137970
8600000US92673,92673,384585,6255,19380,16070,17230,15770,57600,47250,75895,129140
8600000US92675,92675,409970,7175,25635,49095,42575,33085,68310,33475,49325,101290
8600000US92676,92676,31685,90,540,450,1955,5350,6355,8190,3370,5385
8600000US92677,92677,846675,12410,38225,66125,82340,66750,155035,91425,111140,223230
8600000US92678,92678,null,null,null,null,null,null,null,null,null,null
8600000US92679,92679,458610,3250,15945,27255,49590,25235,96645,58960,69800,111935
8600000US92683,92683,1171900,11955,41335,91620,105735,57165,259150,121410,184350,299175
8600000US92688,92688,683320,8880,24690,39975,64705,44635,119985,95740,117145,167570
8600000US92691,92691,674780,9705,27570,58880,72645,44140,118640,75570,109440,158190
8600000US92692,92692,577315,10110,24230,45190,66410,42815,87990,69460,84130,146980
8600000US92694,92694,389870,3215,8460,18210,44695,28965,62525,44995,53665,125140
8600000US92701,92701,637955,8255,31420,67180,94065,41530,135590,67170,56650,136095
8600000US92703,92703,840075,6650,32510,67540,129135,50795,202105,89130,80890,181315
8600000US92704,92704,1052955,13395,53915,112065,159905,70975,242120,98845,106490,195245
8600000US92705,92705,535915,9595,32135,63150,83075,38465,99480,48060,51100,110855
8600000US92706,92706,455975,5480,19570,35730,65715,26385,95775,36510,44505,126310
8600000US92707,92707,709945,15015,50955,87060,118040,38035,144070,55505,52000,149265
8600000US92708,92708,705270,10115,31345,56445,82090,41100,143610,67825,99810,172930
8600000US92780,92780,725040,12930,42095,84115,106350,44425,152665,63935,52155,166375
8600000US92782,92782,306195,5020,11495,39225,45410,24455,56475,18275,34185,71655
8600000US92801,92801,919490,11175,33745,71725,98825,37770,183600,69885,126160,286610
8600000US92802,92802,562985,8720,24525,36095,66120,26995,121725,56275,62455,160075
8600000US92804,92804,1255915,9965,40135,77515,142255,69545,238990,128465,199330,349720
8600000US92805,92805,962875,15915,52855,84210,109700,52700,153540,87165,139940,266840
8600000US92806,92806,531075,8015,32000,42540,70460,29775,77610,46720,73330,150630
8600000US92807,92807,506160,5455,19345,33050,52830,33000,72540,70245,92990,126700
8600000US92808,92808,337590,3705,7670,13570,23435,16595,67470,48550,70150,86440
8600000US92821,92821,606975,8550,22270,25720,44760,25945,81760,56720,97180,244075
8600000US92823,92823,81400,905,1110,4980,6460,3600,8310,6475,13980,35580
8600000US92831,92831,507205,9335,29300,42960,46270,21720,79300,42685,86280,149355
8600000US92832,92832,350790,5675,11500,25260,28950,13950,62700,28205,65010,109540
8600000US92833,92833,781960,8020,26440,50920,58810,34745,113760,66490,132635,290135
8600000US92835,92835,359145,5435,12920,19025,25100,13150,40630,38150,60650,144085
8600000US92840,92840,793775,8925,29735,55345,85925,48700,142500,79015,128470,215160
8600000US92841,92841,454570,3835,11335,32340,49020,20950,96285,40065,85335,115405
8600000US92843,92843,620545,6355,22065,60770,81000,34535,129390,52880,68090,165460
8600000US92844,92844,291705,2710,11360,28530,28680,19535,68790,22510,41445,68150
8600000US92845,92845,218225,2235,8835,16015,23100,13620,33080,29160,36465,55720
8600000US92860,92860,398745,3505,11385,20855,24230,8305,45500,31840,48915,204215
8600000US92861,92861,61020,1165,2800,2235,6845,3775,12570,6540,9800,15290
8600000US92865,92865,283445,4565,14780,21220,32570,9825,60840,35280,35840,68525
8600000US92866,92866,187710,5390,14240,17070,23695,11425,35640,16120,25415,38715
8600000US92867,92867,526615,9855,24830,40530,57220,32255,95605,65075,71465,129775
8600000US92868,92868,330120,5620,16625,22960,37255,17825,61430,51275,34570,82560
8600000US92869,92869,482770,4420,21040,37070,70925,34570,110495,54115,58835,91300
8600000US92870,92870,752245,15290,36220,42970,65480,26520,123770,90805,125125,226070
8600000US92879,92879,796715,10520,24950,41525,53580,22950,76470,60420,102505,403800
8600000US92880,92880,1253160,7175,21495,36125,65170,40740,118320,112610,231935,619585
8600000US92881,92881,535460,7635,13095,18930,32140,12930,47585,50880,99870,252390
8600000US92882,92882,1256500,9810,40290,51675,48300,27810,123950,123095,223925,607650
8600000US92883,92883,706860,2280,5620,19400,22010,19375,45390,35045,139525,418215
8600000US92886,92886,716135,8125,20015,40545,39810,35765,104440,107545,122655,237240
8600000US92887,92887,308545,2395,6700,11090,21275,14525,57720,40790,65205,88845
8600000US93001,93001,413420,9705,25120,33510,40600,30715,58690,31535,56830,126710
8600000US93003,93003,554880,19735,41815,54915,48215,39860,63810,46920,62515,177095
8600000US93004,93004,390135,4800,26010,44740,41780,20875,47670,33850,45490,124920
8600000US93010,93010,507760,13505,33315,58860,74970,25365,70200,33700,38440,159405
8600000US93012,93012,411055,11650,25470,34945,57155,30950,45360,37760,45830,121930
8600000US93013,93013,166255,6640,10620,15285,16430,13775,31650,23955,16220,31680
8600000US93015,93015,227360,6365,4190,8895,17280,13275,40200,37500,39605,60045
8600000US93021,93021,533625,9645,20535,36890,64095,30235,73415,65445,85165,148195
8600000US93022,93022,99520,1045,1990,9265,7930,8750,14520,7135,16400,32485
8600000US93023,93023,207895,9140,15060,8965,21090,20250,32190,23465,17525,60210
8600000US93030,93030,681870,7230,24125,45575,54580,251140,120815,33045,49890,95470
8600000US93033,93033,994985,6900,18275,48135,90385,422880,169350,45435,53250,140375
8600000US93035,93035,382950,5460,16240,32715,35760,64025,58780,31000,38010,100955
8600000US93036,93036,583645,6585,27540,46835,45240,186690,74555,23835,58705,113660
8600000US93040,93040,18880,420,620,965,2780,650,1020,2820,4140,5465
8600000US93041,93041,262845,8160,9805,18255,30465,86465,45720,12085,25360,26525
8600000US93042,93042,null,null,null,null,null,null,null,null,null,null
8600000US93043,93043,null,null,null,null,null,null,null,null,null,null
8600000US93060,93060,368335,11025,16285,23685,32090,37580,74000,35740,57955,79965
8600000US93063,93063,851645,14035,33780,38050,61560,44180,126820,104265,135410,293545
8600000US93064,93064,-,-,-,-,-,-,-,-,-,-
8600000US93065,93065,1046215,20445,42290,60255,66880,52125,164725,146335,153030,340130
8600000US93066,93066,33135,625,2125,3815,4625,3460,8810,950,1520,7205
8600000US93067,93067,null,null,null,null,null,null,null,null,null,null
8600000US93101,93101,285880,20525,43310,61330,46410,17875,23970,9765,17385,45305
8600000US93103,93103,210895,12425,27605,36205,28020,15715,8850,10190,11500,60385
8600000US93105,93105,211225,14430,39950,51150,28505,5340,11160,10975,15445,34270
8600000US93108,93108,58230,3360,7055,11585,7110,1925,3390,5875,4390,13540
8600000US93109,93109,null,null,null,null,null,null,null,null,null,null
8600000US93110,93110,124145,5275,24140,29490,15420,2625,6450,4160,9555,27030
8600000US93111,93111,143425,8585,25025,33145,19085,4750,10290,4145,10150,28255
8600000US93117,93117,409455,32255,75145,82535,65100,26320,36880,14930,19550,56740
8600000US93201,93201,null,null,null,null,null,null,null,null,null,null
8600000US93202,93202,null,null,null,null,null,null,null,null,null,null
8600000US93203,93203,195960,2950,9505,19850,33020,12055,43650,17510,36220,21200
8600000US93204,93204,114680,2210,1470,2595,6690,2650,13740,11690,13480,60155
8600000US93205,93205,null,null,null,null,null,null,null,null,null,null
8600000US93206,93206,null,null,null,null,null,null,null,null,null,null
8600000US93207,93207,null,null,null,null,null,null,null,null,null,null
8600000US93208,93208,null,null,null,null,null,null,null,null,null,null
8600000US93210,93210,108760,8430,9650,15305,14905,3575,6420,5490,5370,39615
8600000US93212,93212,108720,6595,7040,4665,6500,5145,17430,9700,12235,39410
8600000US93215,93215,339220,13150,58090,78275,30060,15350,38850,23735,32260,49445
8600000US93218,93218,null,null,null,null,null,null,null,null,null,null
8600000US93219,93219,89185,2000,4140,9690,15900,2675,19650,6920,11835,16370
8600000US93220,93220,-,-,-,-,-,-,-,-,-,-
8600000US93221,93221,123365,4375,5395,14360,17485,8545,17910,7935,10705,36650
8600000US93222,93222,null,null,null,null,null,null,null,null,null,null
8600000US93223,93223,88760,3260,5795,12750,16715,3425,19740,6690,5000,15385
8600000US93224,93224,null,null,null,null,null,null,null,null,null,null
8600000US93225,93225,67295,1665,1940,2745,4145,3600,2970,1180,10130,38920
