GEO_ID,NAME,B12001_001E,B12001_002E,B12001_003E,B12001_004E,B12001_005E,B12001_006E,B12001_007E,B12001_008E,B12001_009E,B12001_010E,B12001_011E,B12001_012E,B12001_013E,B12001_014E,B12001_015E,B12001_016E,B12001_017E,B12001_018E,B12001_019E
id,Geographic Area Name,Estimate!!Total:,Estimate!!Total:!!Male:,Estimate!!Total:!!Male:!!Never married,Estimate!!Total:!!Male:!!Now married:,"Estimate!!Total:!!Male:!!Now married:!!Married, spouse present","Estimate!!Total:!!Male:!!Now married:!!Married, spouse absent:","Estimate!!Total:!!Male:!!Now married:!!Married, spouse absent:!!Separated","Estimate!!Total:!!Male:!!Now married:!!Married, spouse absent:!!Other",Estimate!!Total:!!Male:!!Widowed,Estimate!!Total:!!Male:!!Divorced,Estimate!!Total:!!Female:,Estimate!!Total:!!Female:!!Never married,Estimate!!Total:!!Female:!!Now married:,"Estimate!!Total:!!Female:!!Now married:!!Married, spouse present","Estimate!!Total:!!Female:!!Now married:!!Married, spouse absent:","Estimate!!Total:!!Female:!!Now married:!!Married, spouse absent:!!Separated","Estimate!!Total:!!Female:!!Now married:!!Married, spouse absent:!!Other",Estimate!!Total:!!Female:!!Widowed,Estimate!!Total:!!Female:!!Divorced
8600000US91723,ZCTA5 91723,15011,7056,3112,3118,2799,319,42,277,209,617,7955,2679,3468,2758,710,332,378,683,1125
8600000US91724,ZCTA5 91724,21979,10862,4396,5635,5034,601,233,368,171,660,11117,3463,5695,4948,747,245,502,755,1204
8600000US91730,ZCTA5 91730,57601,27302,11009,13155,11512,1643,455,1188,544,2594,30299,10362,13173,11380,1793,774,1019,2331,4433
8600000US91731,ZCTA5 91731,24223,11859,5261,5704,4760,944,301,643,403,491,12364,4497,5962,4647,1315,514,801,1137,768
8600000US91732,ZCTA5 91732,50991,25285,12102,11385,9155,2230,492,1738,541,1257,25706,10273,11339,8877,2462,862,1600,2085,2009
8600000US91733,ZCTA5 91733,36251,18156,8053,8553,6833,1720,404,1316,479,1071,18095,7486,8280,6602,1678,533,1145,1354,975
8600000US91737,ZCTA5 91737,20498,9876,3556,5726,5254,472,144,328,122,472,10622,2782,5628,5211,417,188,229,758,1454
8600000US91739,ZCTA5 91739,31318,15892,5998,8980,8245,735,138,597,142,772,15426,4457,8828,8061,767,360,407,655,1486
8600000US91740,ZCTA5 91740,21176,10270,3645,5525,5140,385,123,262,153,947,10906,3115,5450,5014,436,207,229,891,1450
8600000US91741,ZCTA5 91741,21679,10330,3435,5941,5645,296,82,214,267,687,11349,3223,5967,5566,401,172,229,978,1181
8600000US91744,ZCTA5 91744,68912,34688,16126,15972,12911,3061,673,2388,621,1969,34224,12543,15579,12497,3082,1008,2074,3200,2902
8600000US91745,ZCTA5 91745,46391,23182,8851,12517,11365,1152,257,895,621,1193,23209,6475,12587,11117,1470,431,1039,2258,1889
8600000US91746,ZCTA5 91746,24299,11879,4795,5986,4937,1049,237,812,315,783,12420,4804,5779,4804,975,391,584,995,842
8600000US91748,ZCTA5 91748,39627,19145,6955,10762,9449,1313,251,1062,372,1056,20482,5919,11183,9335,1848,258,1590,1820,1560
8600000US91750,ZCTA5 91750,28451,13641,4539,7581,7036,545,141,404,416,1105,14810,3997,7483,6945,538,152,386,1527,1803
8600000US91752,ZCTA5 91752,27782,13825,5679,6615,5854,761,211,550,317,1214,13957,4708,6733,5632,1101,313,788,966,1550
8600000US91754,ZCTA5 91754,28511,13228,4931,7048,6262,786,152,634,460,789,15283,4699,7271,6187,1084,203,881,1882,1431
8600000US91755,ZCTA5 91755,23462,11244,4170,6328,5165,1163,179,984,313,433,12218,3434,6393,5181,1212,186,1026,1214,1177
8600000US91759,ZCTA5 91759,283,128,39,79,79,0,0,0,0,10,155,36,87,77,10,6,4,9,23
8600000US91761,ZCTA5 91761,49410,24219,10605,12015,10574,1441,582,859,253,1346,25191,9534,12118,10493,1625,673,952,1188,2351
8600000US91762,ZCTA5 91762,47517,22975,9620,10972,9807,1165,494,671,619,1764,24542,8498,11479,9479,2000,937,1063,2108,2457
8600000US91763,ZCTA5 91763,30947,15227,7010,6866,6073,793,299,494,205,1146,15720,6268,6879,5918,961,400,561,1101,1472
8600000US91764,ZCTA5 91764,43950,21709,10066,9885,8613,1272,474,798,425,1333,22241,8721,9997,8409,1588,777,811,1413,2110
8600000US91765,ZCTA5 91765,38940,18409,5692,11416,10457,959,110,849,259,1042,20531,5457,11482,10470,1012,102,910,1715,1877
8600000US91766,ZCTA5 91766,57110,28536,13374,12981,10730,2251,675,1576,421,1760,28574,11305,12957,10391,2566,1054,1512,1912,2400
8600000US91767,ZCTA5 91767,40093,19301,8840,8329,7175,1154,517,637,480,1652,20792,8861,8386,7085,1301,609,692,1331,2214
8600000US91768,ZCTA5 91768,28490,13535,7043,5467,4388,1079,294,785,275,750,14955,7160,5340,4214,1126,432,694,1025,1430
8600000US91770,ZCTA5 91770,52971,26111,10376,13654,11772,1882,209,1673,697,1384,26860,9069,13177,11540,1637,308,1329,2726,1888
8600000US91773,ZCTA5 91773,28169,13106,4411,7182,6696,486,180,306,398,1115,15063,4362,7182,6548,634,122,512,1845,1674
8600000US91775,ZCTA5 91775,20436,9903,3480,5572,5112,460,67,393,282,569,10533,2902,5765,5040,725,184,541,943,923
8600000US91776,ZCTA5 91776,33695,16159,6587,8317,6861,1456,136,1320,342,913,17536,6213,8100,6748,1352,207,1145,1731,1492
8600000US91780,ZCTA5 91780,29071,13652,4343,8167,7335,832,133,699,424,718,15419,4512,8167,7212,955,211,744,1293,1447
