"GEO_ID","NAME","B12001_001E","B12001_001M","B12001_002E","B12001_002M","B12001_003E","B12001_003M","B12001_004E","B12001_004M","B12001_005E","B12001_005M","B12001_006E","B12001_006M","B12001_007E","B12001_007M","B12001_008E","B12001_008M","B12001_009E","B12001_009M","B12001_010E","B12001_010M","B12001_011E","B12001_011M","B12001_012E","B12001_012M","B12001_013E","B12001_013M","B12001_014E","B12001_014M","B12001_015E","B12001_015M","B12001_016E","B12001_016M","B12001_017E","B12001_017M","B12001_018E","B12001_018M","B12001_019E","B12001_019M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Never married","Margin of Error!!Total:!!Male:!!Never married","Estimate!!Total:!!Male:!!Now married:","Margin of Error!!Total:!!Male:!!Now married:","Estimate!!Total:!!Male:!!Now married:!!Married, spouse present","Margin of Error!!Total:!!Male:!!Now married:!!Married, spouse present","Estimate!!Total:!!Male:!!Now married:!!Married, spouse absent:","Margin of Error!!Total:!!Male:!!Now married:!!Married, spouse absent:","Estimate!!Total:!!Male:!!Now married:!!Married, spouse absent:!!Separated","Margin of Error!!Total:!!Male:!!Now married:!!Married, spouse absent:!!Separated","Estimate!!Total:!!Male:!!Now married:!!Married, spouse absent:!!Other","Margin of Error!!Total:!!Male:!!Now married:!!Married, spouse absent:!!Other","Estimate!!Total:!!Male:!!Widowed","Margin of Error!!Total:!!Male:!!Widowed","Estimate!!Total:!!Male:!!Divorced","Margin of Error!!Total:!!Male:!!Divorced","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Never married","Margin of Error!!Total:!!Female:!!Never married","Estimate!!Total:!!Female:!!Now married:","Margin of Error!!Total:!!Female:!!Now married:","Estimate!!Total:!!Female:!!Now married:!!Married, spouse present","Margin of Error!!Total:!!Female:!!Now married:!!Married, spouse present","Estimate!!Total:!!Female:!!Now married:!!Married, spouse absent:","Margin of Error!!Total:!!Female:!!Now married:!!Married, spouse absent:","Estimate!!Total:!!Female:!!Now married:!!Married, spouse absent:!!Separated","Margin of Error!!Total:!!Female:!!Now married:!!Married, spouse absent:!!Separated","Estimate!!Total:!!Female:!!Now married:!!Married, spouse absent:!!Other","Margin of Error!!Total:!!Female:!!Now married:!!Married, spouse absent:!!Other","Estimate!!Total:!!Female:!!Widowed","Margin of Error!!Total:!!Female:!!Widowed","Estimate!!Total:!!Female:!!Divorced","Margin of Error!!Total:!!Female:!!Divorced"
"8600000US95233","ZCTA5 95233","427","164","189","82","47","39","127","62","108","56","19","30","0","12","19","30","0","12","15","19","238","109","44","45","156","79","126","69","30","25","0","12","30","25","38","39","0","12"
"8600000US95234","ZCTA5 95234","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US95236","ZCTA5 95236","3447","474","1747","294","544","209","1027","155","974","169","53","52","25","29","28","42","56","44","120","67","1700","286","366","192","1018","167","941","167","77","65","41","45","36","37","155","77","161","75"
"8600000US95237","ZCTA5 95237","2708","215","1423","147","568","122","713","89","693","91","20","17","9","13","11","13","10","11","132","63","1285","117","311","105","765","100","698","93","67","47","35","36","32","51","80","39","129","48"
"8600000US95240","ZCTA5 95240","36894","1037","18011","655","6499","591","9588","511","8239","438","1349","295","536","179","813","241","459","110","1465","220","18883","675","5727","451","9066","448","8069","411","997","228","496","162","501","167","1776","291","2314","271"
"8600000US95242","ZCTA5 95242","21464","809","10136","532","2893","352","6048","348","5686","356","362","137","50","45","312","130","384","151","811","187","11328","481","2546","396","6269","319","5732","319","537","216","274","162","263","144","1119","218","1394","225"
"8600000US95245","ZCTA5 95245","1534","432","793","259","244","143","386","122","358","113","28","51","0","12","28","51","33","34","130","107","741","206","150","104","454","148","394","126","60","71","25","41","35","61","41","62","96","65"
"8600000US95246","ZCTA5 95246","1133","398","607","232","223","138","323","162","282","143","41","65","0","12","41","65","26","33","35","40","526","205","108","85","293","146","293","146","0","12","0","12","0","12","60","78","65","57"
"8600000US95247","ZCTA5 95247","3468","469","1491","225","387","149","794","131","747","129","47","36","13","16","34","28","97","77","213","109","1977","303","533","219","853","152","817","159","36","43","36","43","0","12","353","119","238","93"
"8600000US95248","ZCTA5 95248","106","93","58","53","12","20","35","39","35","39","0","12","0","12","0","12","0","12","11","18","48","49","0","12","39","42","39","42","0","12","0","12","0","12","0","12","9","14"
"8600000US95249","ZCTA5 95249","4326","784","2336","523","954","371","1011","262","902","228","109","95","53","79","56","54","88","82","283","233","1990","360","419","197","988","261","937","260","51","58","22","29","29","46","113","106","470","214"
"8600000US95250","ZCTA5 95250","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US95251","ZCTA5 95251","619","237","259","119","96","79","125","66","125","66","0","12","0","12","0","12","0","12","38","36","360","155","100","82","140","77","140","77","0","12","0","12","0","12","34","40","86","79"
